frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,input.Pitch,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
0,False,False,0.000000,0.000000,0.180000,0.000000,17.000000,0.000000,0.000000,8.410000,0.000003,0.004799,0.000003,0.999988,0.000000,-0.000300,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
1,False,False,0.000000,0.000000,0.000000,2.570000,892.799988,0.000000,-0.140000,78.860001,-0.502503,0.502532,-0.497453,-0.497486,0.092600,0.000000,-0.000500,0.000000,2.570000,1047.809937,0.000000,-7.600000,142.470001,-0.000380,0.000003,0.000003,1.000000,-0.091400,0.000000,0.000000
2,False,False,1.000000,0.000000,0.000000,2.460000,891.760010,0.000000,-0.140000,73.989998,-0.502961,0.502992,-0.496989,-0.497022,0.090300,0.000000,-0.000400,0.000000,3.150000,1058.900024,0.000000,-7.590000,137.009995,-0.000763,0.000003,0.000003,1.000000,-0.091400,0.000000,0.000000
3,False,False,1.000000,0.000000,0.000000,2.440000,892.049988,0.000000,-0.140000,69.119995,-0.503188,0.503223,-0.496757,-0.496790,0.088100,0.000000,-0.000300,0.000000,3.200000,1061.689941,0.000000,-6.560000,172.789993,-0.001146,0.000003,0.000003,0.999999,-0.091400,0.000000,0.000000
4,False,False,1.000000,0.000000,0.000000,2.440000,892.589966,0.000000,-0.140000,64.250000,-0.503366,0.503402,-0.496574,-0.496612,0.085900,0.000000,-0.000200,0.000000,3.150000,1063.079956,0.000000,-6.550000,167.319992,-0.001529,0.000003,0.000003,0.999999,-0.091400,0.000000,0.000000
5,False,False,1.000000,0.000000,0.000000,2.440000,893.079956,0.000000,-0.140000,59.379997,-0.503539,0.503580,-0.496396,-0.496434,0.083800,0.000000,-0.000100,0.000000,3.100000,1064.429932,0.000000,-4.820000,228.959991,-0.001912,0.000003,0.000003,0.999998,-0.091400,0.000000,0.000000
6,False,False,1.000000,0.000000,0.000000,2.440000,893.529968,0.000000,-0.140000,54.509998,-0.503706,0.503753,-0.496223,-0.496261,0.081700,0.000000,0.000000,0.000000,3.060000,1066.289917,0.000000,-4.810000,223.479996,-0.002295,0.000003,0.000003,0.999997,-0.091400,0.000000,0.000000
7,False,False,1.000000,0.000000,0.000000,2.440000,893.940002,0.000000,-0.140000,49.639999,-0.503873,0.503916,-0.496056,-0.496094,0.079700,0.000000,0.000000,0.000000,3.020000,1068.109985,0.000000,-4.800000,218.000000,-0.002679,0.000003,0.000003,0.999996,-0.091400,0.000000,0.000000
8,False,False,1.000000,0.000000,0.000000,2.440000,894.309998,0.000000,-0.140000,44.770000,-0.504035,0.504072,-0.495894,-0.495932,0.077700,0.000000,0.000000,0.000000,2.980000,1069.880005,0.000000,-4.790000,212.519989,-0.003062,0.000003,0.000003,0.999995,-0.091400,0.000000,0.000000
9,False,False,1.000000,0.000000,0.000000,2.440000,894.639954,0.000000,-0.140000,39.899998,-0.504191,0.504234,-0.495732,-0.495770,0.075800,0.000000,0.000000,0.000000,2.940000,1071.609985,0.000000,-4.780000,207.039993,-0.003445,0.000003,0.000003,0.999994,-0.091400,0.000000,0.000000
10,False,False,1.000000,0.000000,0.000000,2.440000,894.929993,0.000000,-0.140000,35.029999,-0.504342,0.504391,-0.495576,-0.495614,0.073900,0.000000,0.000000,0.000000,2.900000,1073.289917,0.000000,-4.770000,201.569992,-0.003828,0.000003,0.000003,0.999993,-0.091400,0.000000,0.000000
11,False,False,1.000000,0.000000,0.000000,2.440000,895.179993,0.000000,-0.140000,30.160000,-0.504494,0.504536,-0.495425,-0.495463,0.072100,0.000000,0.000000,0.000000,2.860000,1074.919922,0.000000,-4.760000,196.099991,-0.004211,0.000003,0.000003,0.999991,-0.091400,0.000000,0.000000
12,False,False,1.000000,0.000000,0.000000,2.440000,895.389954,0.000000,-0.150000,25.289999,-0.504639,0.504677,-0.495279,-0.495317,0.070300,0.000000,0.000000,0.000000,2.820000,1076.510010,0.000000,-4.750000,190.629990,-0.004594,0.000003,0.000003,0.999989,-0.091400,0.000000,0.000000
13,False,False,1.000000,0.000000,0.000000,2.440000,895.559998,0.000000,-0.160000,20.420000,-0.504780,0.504822,-0.495134,-0.495171,0.068600,0.000000,0.000000,0.000000,2.780000,1078.049927,0.000000,-4.740000,185.159988,-0.004977,0.000003,0.000003,0.999988,-0.091400,0.000000,0.000000
14,False,False,1.000000,0.000000,0.000000,2.440000,895.690002,0.000000,-0.170000,15.549999,-0.504920,0.504957,-0.494993,-0.495031,0.066900,0.000000,0.000000,0.000000,2.740000,1079.549927,0.000000,-4.730000,179.690002,-0.005360,0.000003,0.000003,0.999986,-0.091400,0.000000,0.000000
15,False,False,1.000000,0.000000,0.000000,2.440000,895.779968,0.000000,-0.180000,10.679999,-0.505055,0.505087,-0.494858,-0.494896,0.065200,0.000000,0.000000,0.000000,2.700000,1081.000000,0.000000,-4.720000,174.220001,-0.005743,0.000003,0.000003,0.999983,-0.091400,0.000000,0.000000
16,False,False,1.000000,0.000000,0.000000,2.440000,895.829956,0.000000,-0.190000,5.810000,-0.505184,0.505221,-0.494724,-0.494761,0.063600,0.000000,0.000000,0.000000,2.660000,1082.410034,0.000000,-4.710000,168.750000,-0.006126,0.000003,0.000003,0.999981,-0.091400,0.000000,0.000000
17,False,False,1.000000,0.000000,0.000000,2.440000,895.839966,0.000000,-0.200000,0.940000,-0.505314,0.505345,-0.494594,-0.494632,0.062000,0.000000,0.000000,0.000000,2.620000,1083.770020,0.000000,-4.700000,163.289993,-0.006509,0.000003,0.000003,0.999979,-0.091400,0.000000,0.000000
18,False,False,1.000000,0.000000,0.000000,2.440000,895.809998,0.000000,-0.210000,-3.920000,-0.505438,0.505475,-0.494465,-0.494502,0.060500,0.000000,0.000000,0.000000,2.580000,1085.089966,0.000000,-4.690000,157.830002,-0.006892,0.000003,0.000003,0.999976,-0.091400,0.000000,0.000000
19,False,False,1.000000,0.000000,0.000000,2.440000,895.739990,0.000000,-0.220000,-8.780000,-0.505562,0.505593,-0.494341,-0.494378,0.059000,0.000000,0.000000,0.000000,2.540000,1086.359985,0.000000,-4.680000,152.369995,-0.007275,0.000003,0.000003,0.999973,-0.091400,0.000000,0.000000
20,False,False,1.000000,0.000000,0.000000,2.440000,895.630005,0.000000,-0.230000,-13.639999,-0.505680,0.505712,-0.494216,-0.494260,0.057500,0.000000,0.000000,0.000000,2.500000,1087.579956,0.000000,-4.670000,146.910004,-0.007658,0.000003,0.000003,0.999971,-0.091400,0.000000,0.000000
21,False,False,1.000000,0.000000,0.000000,2.440000,895.479980,0.000000,-0.240000,-18.500000,-0.505794,0.505831,-0.494098,-0.494141,0.056100,0.000000,0.000000,0.000000,2.460000,1088.760010,0.000000,-4.660000,141.449997,-0.008041,0.000003,0.000003,0.999968,-0.091400,0.000000,0.000000
22,True,True,1.000000,0.090000,0.000000,2.440000,895.349976,0.000000,-0.440000,-15.089999,-0.505929,0.505970,-0.493957,-0.494001,0.065600,0.000000,0.000000,0.000000,2.420000,1089.890015,0.000000,-4.650000,135.989990,-0.008424,0.000003,0.000003,0.999964,-0.091400,0.000000,0.000000
23,True,True,1.000000,0.090000,0.000000,2.430000,895.250000,0.000000,-0.650000,-11.679999,-0.506085,0.506119,-0.493801,-0.493844,0.074900,0.000000,0.000000,0.000000,2.380000,1090.979980,0.000000,-4.640000,130.529999,-0.008807,0.000003,0.000003,0.999961,-0.091400,0.000000,0.000000
24,True,True,1.000000,0.090000,0.000000,2.420000,895.179993,0.000000,-0.860000,-8.270000,-0.506258,0.506293,-0.493623,-0.493666,0.084000,0.000000,0.000000,0.000000,2.340000,1092.020020,0.000000,-4.630000,125.079994,-0.009190,0.000003,0.000003,0.999958,-0.091400,0.000000,0.000000
25,True,True,1.000000,0.090000,0.000000,2.410000,895.139954,0.000000,-1.080000,-4.870000,-0.506446,0.506483,-0.493429,-0.493472,0.092900,0.000000,0.000000,0.000000,2.300000,1093.020020,0.000000,-4.620000,119.629997,-0.009573,0.000003,0.000003,0.999954,-0.091400,0.000000,0.000000
26,True,True,1.000000,0.090000,0.000000,2.400000,895.130005,0.000000,-1.300000,-1.470000,-0.506657,0.506693,-0.493213,-0.493256,0.101700,0.000000,0.000000,0.000000,2.260000,1093.969971,0.000000,-4.610000,114.180000,-0.009956,0.000003,0.000003,0.999950,-0.091400,0.000000,0.000000
27,True,True,1.000000,0.090000,0.000000,2.390000,895.149963,0.000000,-1.530000,1.920000,-0.506884,0.506918,-0.492981,-0.493024,0.110300,0.000000,0.000000,0.000000,2.220000,1094.880005,0.000000,-4.600000,108.729996,-0.010339,0.000003,0.000003,0.999947,-0.091400,0.000000,0.000000
28,True,True,1.000000,0.090000,0.000000,2.380000,895.190002,0.000000,-1.770000,5.310000,-0.507126,0.507168,-0.492727,-0.492771,0.118700,0.000000,0.000000,0.000000,2.180000,1095.739990,0.000000,-4.590000,103.279999,-0.010722,0.000003,0.000003,0.999942,-0.091400,0.000000,0.000000
29,True,True,1.000000,0.090000,0.000000,2.360000,895.260010,0.000000,-2.020000,8.700000,-0.507385,0.507433,-0.492458,-0.492501,0.126900,0.000000,0.000000,0.000000,2.140000,1096.559937,0.000000,-4.580000,97.829994,-0.011105,0.000003,0.000003,0.999938,-0.091400,0.000000,0.000000
30,True,True,1.000000,0.090000,0.000000,2.340000,895.359985,0.000000,-2.280000,12.090000,-0.507660,0.507713,-0.492172,-0.492215,0.134900,0.000000,0.000000,0.000000,2.100000,1097.329956,0.000000,-4.570000,92.379997,-0.011488,0.000003,0.000003,0.999934,-0.091400,0.000000,0.000000
31,True,True,1.000000,0.090000,0.000000,2.320000,895.489990,0.000000,-2.550000,15.480000,-0.507952,0.508007,-0.491870,-0.491913,0.142700,0.000000,0.000000,0.000000,2.060000,1098.049927,0.000000,-4.560000,86.930000,-0.011871,0.000003,0.000003,0.999929,-0.091400,0.000000,0.000000
32,True,True,1.000000,0.090000,0.000000,2.300000,895.649963,0.000000,-2.830000,18.869999,-0.508259,0.508315,-0.491551,-0.491595,0.150400,0.000000,0.000000,0.000000,2.020000,1098.729980,0.000000,-4.550000,81.489998,-0.012254,0.000003,0.000003,0.999925,-0.091400,0.000000,0.000000
33,True,True,1.000000,0.090000,0.000000,2.270000,895.839966,0.000000,-3.120000,22.260000,-0.508583,0.508638,-0.491217,-0.491260,0.157900,0.000000,0.000000,0.000000,1.980000,1099.359985,0.000000,-4.540000,76.049995,-0.012637,0.000003,0.000003,0.999920,-0.091400,0.000000,0.000000
34,True,True,1.000000,0.090000,0.000000,2.240000,896.049988,0.000000,-3.420000,25.650000,-0.508923,0.508975,-0.490866,-0.490909,0.165300,0.000000,0.000000,0.000000,1.940000,1099.949951,0.000000,-4.530000,70.610001,-0.013020,0.000003,0.000003,0.999915,-0.091400,0.000000,0.000000
35,True,True,1.000000,0.090000,0.000000,2.210000,896.289978,0.000000,-3.730000,29.039999,-0.509273,0.509332,-0.490499,-0.490543,0.172500,0.000000,0.000000,0.000000,1.900000,1100.489990,0.000000,-4.520000,65.169998,-0.013403,0.000003,0.000003,0.999910,-0.091400,0.000000,0.000000
36,True,True,1.000000,0.090000,0.000000,2.180000,896.559998,0.000000,-4.060000,32.430000,-0.509640,0.509702,-0.490116,-0.490160,0.179500,0.000000,0.000000,0.000000,1.860000,1100.989990,0.000000,-4.510000,59.730000,-0.013786,0.000003,0.000003,0.999905,-0.091400,0.000000,0.000000
37,True,True,1.000000,0.090000,0.000000,2.140000,896.859985,0.000000,-4.400000,35.820000,-0.510023,0.510076,-0.489723,-0.489766,0.186400,0.000000,0.000000,0.000000,1.820000,1101.439941,0.000000,-4.500000,54.289997,-0.014169,0.000003,0.000003,0.999900,-0.091400,0.000000,0.000000
38,True,True,1.000000,0.090000,0.000000,2.100000,897.190002,0.000000,-4.750000,39.209999,-0.510417,0.510469,-0.489313,-0.489356,0.193100,0.000000,0.000000,0.000000,1.780000,1101.849976,0.000000,-4.490000,48.849998,-0.014553,0.000003,0.000003,0.999894,-0.091400,0.000000,0.000000
39,True,True,1.000000,0.090000,0.000000,2.060000,897.549988,0.000000,-5.120000,42.599998,-0.510822,0.510881,-0.488886,-0.488930,0.199700,0.000000,0.000000,0.000000,1.740000,1102.209961,0.000000,-4.480000,43.419998,-0.014936,0.000003,0.000003,0.999888,-0.091400,0.000000,0.000000
40,True,True,1.000000,0.090000,0.000000,2.010000,897.929993,0.000000,-5.500000,45.989998,-0.511242,0.511296,-0.488449,-0.488493,0.206200,0.000000,0.000000,0.000000,1.700000,1102.530029,0.000000,-4.470000,37.989998,-0.015319,0.000003,0.000003,0.999883,-0.091400,0.000000,0.000000
41,True,True,1.000000,0.090000,0.000000,1.960000,898.339966,0.000000,-5.900000,49.379997,-0.511674,0.511729,-0.487996,-0.488039,0.212500,0.000000,0.000000,0.000000,1.660000,1102.799927,0.000000,-4.460000,32.559998,-0.015702,0.000003,0.000003,0.999877,-0.091400,0.000000,0.000000
42,True,True,1.000000,0.090000,0.000000,1.910000,898.779968,0.000000,-6.310000,52.770000,-0.512116,0.512171,-0.487532,-0.487575,0.218700,0.000000,0.000000,0.000000,1.620000,1103.030029,0.000000,-4.450000,27.129999,-0.016085,0.000003,0.000003,0.999871,-0.091400,0.000000,0.000000
43,True,True,1.000000,0.090000,0.000000,1.850000,899.250000,0.000000,-6.740000,56.160000,-0.512575,0.512626,-0.487052,-0.487095,0.224700,0.000000,0.000000,0.000000,1.580000,1103.209961,0.000000,-4.440000,21.699999,-0.016468,0.000003,0.000003,0.999864,-0.091400,0.000000,0.000000
44,True,True,1.000000,0.090000,0.000000,1.790000,899.750000,0.000000,-7.190000,59.549999,-0.513044,0.513088,-0.486561,-0.486604,0.230600,0.000000,0.000000,0.000000,1.540000,1103.349976,0.000000,-4.430000,16.270000,-0.016851,0.000003,0.000003,0.999858,-0.091400,0.000000,0.000000
45,True,True,1.000000,0.090000,0.000000,1.730000,900.269958,0.000000,-7.650000,62.939999,-0.513524,0.513569,-0.486054,-0.486097,0.236400,0.000000,0.000000,0.000000,1.500000,1103.439941,0.000000,-4.420000,10.840000,-0.017234,0.000003,0.000003,0.999851,-0.091400,0.000000,0.000000
46,True,True,1.000000,0.090000,0.000000,1.660000,900.820007,0.000000,-8.130000,66.320000,-0.514015,0.514058,-0.485536,-0.485579,0.242100,0.000000,0.000000,0.000000,1.460000,1103.489990,0.000000,-4.410000,5.420000,-0.017617,0.000003,0.000003,0.999845,-0.091400,0.000000,0.000000
47,True,True,1.000000,0.090000,0.000000,1.590000,901.399963,0.000000,-8.630000,69.699997,-0.514517,0.514554,-0.485008,-0.485051,0.247600,0.000000,0.000000,0.000000,1.420000,1103.489990,0.000000,-4.400000,0.000000,-0.018000,0.000003,0.000003,0.999838,-0.091400,0.000000,0.000000
48,True,True,1.000000,0.090000,0.000000,1.510000,902.010010,0.000000,-9.150000,73.080002,-0.515030,0.515067,-0.484463,-0.484506,0.253000,0.000000,0.000000,0.000000,1.380000,1103.439941,0.000000,-4.390000,-5.410000,-0.018383,0.000003,0.000003,0.999831,-0.091400,0.000000,0.000000
49,True,True,1.000000,0.090000,0.000000,1.430000,902.649963,0.000000,-9.679999,76.459999,-0.515553,0.515588,-0.483907,-0.483950,0.258300,0.000000,0.000000,0.000000,1.340000,1103.349976,0.000000,-4.380000,-10.820000,-0.018766,0.000003,0.000003,0.999824,-0.091400,0.000000,0.000000
50,True,True,1.000000,0.090000,0.000000,1.340000,903.320007,0.000000,-10.230000,79.839996,-0.516082,0.516122,-0.483341,-0.483384,0.263500,0.000000,0.000000,0.000000,1.300000,1103.209961,0.000000,-4.370000,-16.230000,-0.019149,0.000003,0.000003,0.999817,-0.091400,0.000000,0.000000
51,True,True,1.000000,0.090000,0.000000,1.250000,904.010010,0.000000,-10.800000,83.220001,-0.516621,0.516662,-0.482763,-0.482806,0.268600,0.000000,0.000000,0.000000,1.260000,1103.030029,0.000000,-4.360000,-21.639999,-0.019532,0.000003,0.000003,0.999809,-0.091400,0.000000,0.000000
52,False,False,1.000000,-0.030000,0.000000,1.160000,904.659973,0.000000,-10.830000,78.349998,-0.517139,0.517182,-0.482208,-0.482251,0.258500,0.000000,0.000000,0.000000,1.220000,1102.799927,0.000000,-4.350000,-27.049999,-0.019915,0.000003,0.000003,0.999802,-0.091400,0.000000,0.000000
53,False,False,1.000000,-0.030000,0.000000,1.070000,905.269958,0.000000,-10.860000,73.479996,-0.517641,0.517675,-0.481674,-0.481717,0.248600,0.000000,0.000000,0.000000,1.180000,1102.530029,0.000000,-4.340000,-32.450001,-0.020298,0.000003,0.000003,0.999794,-0.091400,0.000000,0.000000
54,False,False,1.000000,-0.030000,0.000000,0.980000,905.839966,0.000000,-10.889999,68.610001,-0.518121,0.518158,-0.481156,-0.481199,0.238900,0.000000,0.000000,0.000000,1.140000,1102.209961,0.000000,-4.330000,-37.849998,-0.020681,0.000003,0.000003,0.999786,-0.091400,0.000000,0.000000
55,False,False,1.000000,-0.030000,0.000000,0.890000,906.369995,0.000000,-10.929999,63.739998,-0.518579,0.518620,-0.480659,-0.480702,0.229400,0.000000,0.000000,0.000000,1.100000,1101.849976,0.000000,-4.320000,-43.250000,-0.021064,0.000003,0.000003,0.999778,-0.091400,0.000000,0.000000
56,False,False,1.000000,-0.030000,0.000000,0.800000,906.859985,0.000000,-10.969999,58.869999,-0.519022,0.519057,-0.480185,-0.480228,0.220200,0.000000,0.000000,0.000000,1.060000,1101.439941,0.000000,-4.310000,-48.649998,-0.021447,0.000003,0.000003,0.999770,-0.091400,0.000000,0.000000
57,False,False,1.000000,-0.030000,0.000000,0.710000,907.309998,0.000000,-11.010000,54.000000,-0.519443,0.519484,-0.479726,-0.479769,0.211200,0.000000,0.000000,0.000000,1.020000,1100.989990,0.000000,-4.300000,-54.049999,-0.021830,0.000003,0.000003,0.999762,-0.091400,0.000000,0.000000
58,False,False,1.000000,-0.030000,0.000000,0.620000,907.719971,0.000000,-11.050000,49.129997,-0.519847,0.519886,-0.479289,-0.479332,0.202400,0.000000,0.000000,0.000000,0.980000,1100.489990,0.000000,-4.290000,-59.449997,-0.022213,0.000003,0.000003,0.999753,-0.091400,0.000000,0.000000
59,False,False,1.000000,-0.030000,0.000000,0.530000,908.089966,0.000000,-11.090000,44.259998,-0.520236,0.520273,-0.478868,-0.478911,0.193800,0.000000,0.000000,0.000000,0.940000,1099.949951,0.000000,-4.280000,-64.849998,-0.022596,0.000003,0.000003,0.999745,-0.091400,0.000000,0.000000
60,False,False,1.000000,-0.030000,0.000000,0.440000,908.419983,0.000000,-11.130000,39.389999,-0.520608,0.520645,-0.478464,-0.478507,0.185400,0.000000,0.000000,0.000000,0.900000,1099.359985,0.000000,-4.270000,-70.250000,-0.022979,0.000003,0.000003,0.999736,-0.091400,0.000000,0.000000
61,False,False,1.000000,-0.030000,0.000000,0.350000,908.709961,0.000000,-11.170000,34.520000,-0.520959,0.520998,-0.478081,-0.478124,0.177200,0.000000,0.000000,0.000000,0.860000,1098.729980,0.000000,-4.260000,-75.639999,-0.023362,0.000003,0.000003,0.999727,-0.091400,0.000000,0.000000
62,False,False,1.000000,-0.030000,0.000000,0.260000,908.959961,0.000000,-11.210000,29.650000,-0.521293,0.521336,-0.477714,-0.477757,0.169200,0.000000,0.000000,0.000000,0.820000,1098.049927,0.000000,-4.250000,-81.029999,-0.023745,0.000003,0.000003,0.999718,-0.091400,0.000000,0.000000
63,False,False,1.000000,-0.030000,0.000000,0.170000,909.169983,0.000000,-11.250000,24.779999,-0.521617,0.521655,-0.477363,-0.477406,0.161400,0.000000,0.000000,0.000000,0.780000,1097.329956,0.000000,-4.240000,-86.419998,-0.024128,0.000003,0.000003,0.999709,-0.091400,0.000000,0.000000
64,False,False,1.000000,-0.030000,0.000000,0.080000,909.339966,0.000000,-11.290000,19.910000,-0.521924,0.521959,-0.477029,-0.477072,0.153700,0.000000,0.000000,0.000000,0.740000,1096.559937,0.000000,-4.230000,-91.809998,-0.024511,0.000003,0.000003,0.999699,-0.091400,0.000000,0.000000
65,False,False,1.000000,-0.030000,0.000000,-0.010000,909.469971,0.000000,-11.330000,15.040000,-0.522216,0.522249,-0.476710,-0.476753,0.146200,0.000000,0.000000,0.000000,0.700000,1095.750000,0.000000,-4.220000,-97.199997,-0.024894,0.000003,0.000003,0.999690,-0.091400,0.000000,0.000000
66,False,False,1.000000,-0.030000,0.000000,-0.100000,909.549988,0.000000,-11.380000,10.170000,-0.522491,0.522525,-0.476408,-0.476451,0.138900,0.000000,0.000000,0.000000,0.660000,1094.900024,0.000000,-4.210000,-102.589996,-0.025277,0.000003,0.000003,0.999680,-0.091400,0.000000,0.000000
67,False,False,1.000000,-0.030000,0.000000,-0.200000,909.589966,0.000000,-11.429999,5.300000,-0.522750,0.522787,-0.476122,-0.476165,0.131800,0.000000,0.000000,0.000000,0.620000,1094.000000,0.000000,-4.200000,-107.979996,-0.025660,0.000003,0.000003,0.999671,-0.091400,0.000000,0.000000
68,False,False,1.000000,-0.030000,0.000000,-0.300000,909.589966,0.000000,-11.480000,0.430000,-0.522998,0.523030,-0.475853,-0.475896,0.124800,0.000000,0.000000,0.000000,0.590000,1093.059937,0.000000,-4.190000,-113.360001,-0.026043,0.000003,0.000003,0.999661,-0.091400,0.000000,0.000000
69,False,False,1.000000,-0.030000,0.000000,-0.400000,909.549988,0.000000,-11.530000,-4.430000,-0.523230,0.523269,-0.475594,-0.475637,0.118000,0.000000,0.000000,0.000000,0.560000,1092.069946,0.000000,-4.180000,-118.739998,-0.026426,0.000003,0.000003,0.999651,-0.091400,0.000000,0.000000
70,False,False,1.000000,-0.030000,0.000000,-0.500000,909.469971,0.000000,-11.580000,-9.290000,-0.523451,0.523489,-0.475351,-0.475394,0.111300,0.000000,0.000000,0.000000,0.530000,1091.039917,0.000000,-4.170000,-124.119995,-0.026810,0.000003,0.000003,0.999641,-0.091400,0.000000,0.000000
71,False,False,1.000000,-0.030000,0.000000,-0.600000,909.349976,0.000000,-11.630000,-14.150000,-0.523656,0.523696,-0.475124,-0.475167,0.104800,0.000000,0.000000,0.000000,0.500000,1089.959961,0.000000,-4.160000,-129.500000,-0.027193,0.000003,0.000003,0.999630,-0.091400,0.000000,0.000000
72,True,True,1.000000,0.000000,0.000000,-0.700000,909.260010,0.000000,-12.480000,-10.780000,-0.523861,0.523892,-0.474903,-0.474946,0.102200,0.000000,0.000000,0.000000,0.470000,1088.839966,0.000000,-4.150000,-134.879990,-0.027576,0.000003,0.000003,0.999620,-0.091400,0.000000,0.000000
73,True,True,1.000000,0.000000,0.000000,-0.810000,909.199951,0.000000,-13.340000,-7.410000,-0.524061,0.524083,-0.474687,-0.474730,0.099700,0.000000,0.000000,0.000000,0.440000,1087.669922,0.000000,-4.140000,-140.259995,-0.027959,0.000003,0.000003,0.999609,-0.091400,0.000000,0.000000
74,True,True,1.000000,0.000000,0.000000,-0.930000,909.169983,0.000000,-14.200000,-4.050000,-0.524255,0.524270,-0.474477,-0.474520,0.097300,0.000000,0.000000,0.000000,0.410000,1086.459961,0.000000,-4.130000,-145.639999,-0.028342,0.000003,0.000003,0.999598,-0.091400,0.000000,0.000000
75,True,True,1.000000,0.000000,0.000000,-1.060000,909.159973,0.000000,-15.070000,-0.690000,-0.524444,0.524452,-0.474272,-0.474315,0.094900,0.000000,0.000000,0.000000,0.380000,1085.199951,0.000000,-4.120000,-151.009995,-0.028725,0.000003,0.000003,0.999587,-0.091400,0.000000,0.000000
76,True,True,1.000000,0.000000,0.000000,-1.190000,909.179993,0.000000,-15.950000,2.660000,-0.524627,0.524640,-0.474067,-0.474110,0.092600,0.000000,0.000000,0.000000,0.350000,1083.900024,0.000000,-4.110000,-156.379990,-0.029108,0.000003,0.000003,0.999576,-0.091400,0.000000,0.000000
77,True,True,1.000000,0.000000,0.000000,-1.330000,909.229980,0.000000,-16.840000,6.010000,-0.524805,0.524822,-0.473867,-0.473910,0.090300,0.000000,0.000000,0.000000,0.320000,1082.549927,0.000000,-4.100000,-161.750000,-0.029491,0.000003,0.000003,0.999565,-0.091400,0.000000,0.000000
78,True,True,1.000000,0.000000,0.000000,-1.480000,909.309998,0.000000,-17.730000,9.360000,-0.524978,0.525000,-0.473673,-0.473716,0.088100,0.000000,0.000000,0.000000,0.290000,1081.160034,0.000000,-4.090000,-167.119995,-0.029874,0.000003,0.000003,0.999554,-0.091400,0.000000,0.000000
79,True,True,1.000000,0.000000,0.000000,-1.640000,909.419983,0.000000,-18.629999,12.710000,-0.525145,0.525173,-0.473484,-0.473527,0.085900,0.000000,0.000000,0.000000,0.260000,1079.719971,0.000000,-4.080000,-172.489990,-0.030257,0.000003,0.000003,0.999542,-0.091400,0.000000,0.000000
80,True,True,1.000000,0.000000,0.000000,-1.800000,909.549988,0.000000,-19.529999,16.059999,-0.525312,0.525337,-0.473301,-0.473344,0.083800,0.000000,0.000000,0.000000,0.230000,1078.239990,0.000000,-4.070000,-177.860001,-0.030640,0.000003,0.000003,0.999530,-0.091400,0.000000,0.000000
81,True,True,1.000000,0.000000,0.000000,-1.980000,909.489990,0.000000,-21.600000,-7.780000,-0.526013,0.526043,-0.472519,-0.472562,0.356600,0.000000,0.000000,0.000000,0.250000,1078.069946,0.000000,16.440001,105.659996,-0.033057,0.000003,0.000003,0.999453,-0.580900,0.000000,0.000000
82,True,True,1.000000,0.000000,0.000000,-2.170000,909.449951,0.000000,-22.539999,-4.420000,-0.526699,0.526732,-0.471752,-0.471796,0.348000,0.000000,0.000000,0.000000,0.390000,1078.910034,0.000000,16.430000,100.209999,-0.035474,0.000003,0.000003,0.999370,-0.580900,0.000000,0.000000
83,True,True,1.000000,0.000000,0.000000,-2.370000,909.440002,0.000000,-23.500000,-1.070000,-0.527368,0.527395,-0.471008,-0.471051,0.339600,0.000000,0.000000,0.000000,0.530000,1079.699951,0.000000,25.340000,166.789993,-0.037890,0.000003,0.000003,0.999282,-0.580900,0.000000,0.000000
84,True,True,1.000000,0.000000,0.000000,-2.570000,909.459961,0.000000,-24.490000,2.270000,-0.528015,0.528047,-0.470280,-0.470323,0.331400,0.000000,0.000000,0.000000,0.740000,1081.039917,0.000000,25.330000,161.330002,-0.040307,0.000003,0.000003,0.999187,-0.580900,0.000000,0.000000
85,True,True,1.000000,0.000000,0.000000,-2.780000,909.510010,0.000000,-25.500000,5.610000,-0.528646,0.528682,-0.469568,-0.469611,0.323400,0.000000,0.000000,0.000000,0.950000,1082.339966,0.000000,25.320000,155.869995,-0.042724,0.000003,0.000003,0.999087,-0.580900,0.000000,0.000000
86,True,True,1.000000,0.000000,0.000000,-3.000000,909.579956,0.000000,-26.539999,8.950000,-0.529261,0.529302,-0.468872,-0.468915,0.315600,0.000000,0.000000,0.000000,1.160000,1083.589966,0.000000,25.309999,150.410004,-0.045141,0.000003,0.000003,0.998981,-0.580900,0.000000,0.000000
87,True,True,1.000000,0.000000,0.000000,-3.230000,909.679993,0.000000,-27.599998,12.280000,-0.529860,0.529906,-0.468192,-0.468235,0.308000,0.000000,0.000000,0.000000,1.370000,1084.799927,0.000000,25.299999,144.949997,-0.047558,0.000003,0.000003,0.998868,-0.580900,0.000000,0.000000
