frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,input.Pitch,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
0,False,False,0.000000,0.000000,0.120000,0.000000,18.639999,0.000000,0.000000,8.440000,0.000003,0.003008,0.000003,0.999995,0.000000,-0.000400,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
1,False,False,0.000000,0.000000,0.000000,3.000000,893.139954,0.000000,0.130000,78.759995,-0.500868,0.500872,-0.499126,-0.499131,0.040400,0.000000,-0.000100,0.000000,-0.010000,1045.780029,0.000000,-9.320000,143.080002,-0.000089,0.000003,0.000003,1.000000,-0.022500,0.000000,0.000000
2,False,False,1.000000,0.000000,0.000000,3.010000,892.239990,0.000000,0.120000,73.889999,-0.501014,0.501016,-0.498980,-0.498985,0.039400,0.000000,0.000000,0.000000,-0.120000,1056.020020,0.000000,-9.309999,137.619995,-0.000181,0.000003,0.000003,1.000000,-0.022400,0.000000,0.000000
3,False,False,1.000000,0.000000,0.000000,3.010000,892.570007,0.000000,0.110000,69.019997,-0.501106,0.501107,-0.498888,-0.498894,0.038400,0.000000,0.000000,0.000000,-0.200000,1058.579956,0.000000,-12.710000,173.899994,-0.000272,0.000003,0.000003,1.000000,-0.022300,0.000000,0.000000
4,False,False,1.000000,0.000000,0.000000,3.010000,893.099976,0.000000,0.100000,64.150002,-0.501181,0.501193,-0.498807,-0.498813,0.037400,0.000000,0.000000,0.000000,-0.310000,1059.979980,0.000000,-12.700000,168.429993,-0.000364,0.000003,0.000003,1.000000,-0.022300,0.000000,0.000000
5,False,False,1.000000,0.000000,0.000000,3.010000,893.589966,0.000000,0.090000,59.279999,-0.501257,0.501268,-0.498732,-0.498737,0.036500,0.000000,0.000000,0.000000,-0.420000,1061.339966,0.000000,-18.459999,231.009995,-0.000456,0.000003,0.000003,1.000000,-0.022300,0.000000,0.000000
6,False,False,1.000000,0.000000,0.000000,3.010000,894.039978,0.000000,0.080000,54.410000,-0.501332,0.501342,-0.498656,-0.498662,0.035600,0.000000,0.000000,0.000000,-0.570000,1063.219971,0.000000,-18.449999,225.529999,-0.000548,0.000003,0.000003,1.000000,-0.022300,0.000000,0.000000
7,False,False,1.000000,0.000000,0.000000,3.010000,894.449951,0.000000,0.070000,49.539997,-0.501402,0.501412,-0.498586,-0.498592,0.034700,0.000000,0.000000,0.000000,-0.720000,1065.049927,0.000000,-18.440001,220.049988,-0.000639,0.000003,0.000003,1.000000,-0.022300,0.000000,0.000000
8,False,False,1.000000,0.000000,0.000000,3.010000,894.820007,0.000000,0.060000,44.669998,-0.501473,0.501481,-0.498516,-0.498522,0.033800,0.000000,0.000000,0.000000,-0.870000,1066.839966,0.000000,-18.430000,214.569992,-0.000731,0.000003,0.000003,1.000000,-0.022300,0.000000,0.000000
9,False,False,1.000000,0.000000,0.000000,3.010000,895.149963,0.000000,0.050000,39.799999,-0.501543,0.501550,-0.498446,-0.498451,0.032900,0.000000,0.000000,0.000000,-1.020000,1068.579956,0.000000,-18.420000,209.089996,-0.000823,0.000003,0.000003,1.000000,-0.022300,0.000000,0.000000
10,False,False,1.000000,0.000000,0.000000,3.010000,895.440002,0.000000,0.040000,34.930000,-0.501607,0.501614,-0.498381,-0.498387,0.032100,0.000000,0.000000,0.000000,-1.170000,1070.280029,0.000000,-18.410000,203.619995,-0.000914,0.000003,0.000003,1.000000,-0.022300,0.000000,0.000000
11,False,False,1.000000,0.000000,0.000000,3.010000,895.690002,0.000000,0.030000,30.059999,-0.501672,0.501678,-0.498317,-0.498322,0.031300,0.000000,0.000000,0.000000,-1.320000,1071.929932,0.000000,-18.400000,198.149994,-0.001006,0.000003,0.000003,0.999999,-0.022300,0.000000,0.000000
12,False,False,1.000000,0.000000,0.000000,3.010000,895.899963,0.000000,0.020000,25.189999,-0.501737,0.501742,-0.498252,-0.498257,0.030500,0.000000,0.000000,0.000000,-1.470000,1073.539917,0.000000,-18.389999,192.679993,-0.001098,0.000003,0.000003,0.999999,-0.022300,0.000000,0.000000
13,False,False,1.000000,0.000000,0.000000,3.010000,896.070007,0.000000,0.010000,20.320000,-0.501796,0.501811,-0.498187,-0.498192,0.029700,0.000000,0.000000,0.000000,-1.620000,1075.099976,0.000000,-18.379999,187.209991,-0.001190,0.000003,0.000003,0.999999,-0.022300,0.000000,0.000000
14,False,False,1.000000,0.000000,0.000000,3.010000,896.199951,0.000000,0.000000,15.450000,-0.501856,0.501870,-0.498128,-0.498133,0.028900,0.000000,0.000000,0.000000,-1.770000,1076.609985,0.000000,-18.369999,181.739990,-0.001281,0.000003,0.000003,0.999999,-0.022300,0.000000,0.000000
15,False,False,1.000000,0.000000,0.000000,3.010000,896.289978,0.000000,0.000000,10.580000,-0.501915,0.501928,-0.498068,-0.498074,0.028200,0.000000,0.000000,0.000000,-1.920000,1078.079956,0.000000,-18.359999,176.269989,-0.001373,0.000003,0.000003,0.999999,-0.022300,0.000000,0.000000
16,False,False,1.000000,0.000000,0.000000,3.010000,896.339966,0.000000,0.000000,5.710000,-0.501974,0.501986,-0.498009,-0.498014,0.027500,0.000000,0.000000,0.000000,-2.070000,1079.500000,0.000000,-18.350000,170.800003,-0.001465,0.000003,0.000003,0.999999,-0.022300,0.000000,0.000000
17,False,False,1.000000,0.000000,0.000000,3.010000,896.349976,0.000000,0.000000,0.840000,-0.502028,0.502039,-0.497955,-0.497960,0.026800,0.000000,0.000000,0.000000,-2.220000,1080.880005,0.000000,-18.340000,165.330002,-0.001556,0.000003,0.000003,0.999999,-0.022300,0.000000,0.000000
18,False,False,1.000000,0.000000,0.000000,3.010000,896.320007,0.000000,0.000000,-4.020000,-0.502082,0.502093,-0.497901,-0.497907,0.026100,0.000000,0.000000,0.000000,-2.370000,1082.209961,0.000000,-18.330000,159.869995,-0.001648,0.000003,0.000003,0.999999,-0.022300,0.000000,0.000000
19,False,False,1.000000,0.000000,0.000000,3.010000,896.250000,0.000000,0.000000,-8.880000,-0.502136,0.502146,-0.497847,-0.497853,0.025400,0.000000,0.000000,0.000000,-2.520000,1083.500000,0.000000,-18.320000,154.410004,-0.001740,0.000003,0.000003,0.999998,-0.022300,0.000000,0.000000
20,False,False,1.000000,0.000000,0.000000,3.010000,896.139954,0.000000,0.000000,-13.740000,-0.502190,0.502199,-0.497793,-0.497799,0.024700,0.000000,0.000000,0.000000,-2.670000,1084.739990,0.000000,-18.309999,148.949997,-0.001832,0.000003,0.000003,0.999998,-0.022300,0.000000,0.000000
21,False,False,1.000000,0.000000,0.000000,3.010000,895.979980,0.000000,0.000000,-18.600000,-0.502239,0.502246,-0.497745,-0.497750,0.024100,0.000000,0.000000,0.000000,-2.820000,1085.939941,0.000000,-18.299999,143.489990,-0.001923,0.000003,0.000003,0.999998,-0.022300,0.000000,0.000000
22,True,True,1.000000,0.090000,0.000000,3.010000,895.779968,0.000000,0.000000,-23.459999,-0.502309,0.502315,-0.497675,-0.497680,0.034300,0.000000,0.000000,0.000000,-2.970000,1087.089966,0.000000,-18.289999,138.029999,-0.002015,0.000003,0.000003,0.999998,-0.022300,0.000000,0.000000
23,True,True,1.000000,0.090000,0.000000,3.010000,895.539978,0.000000,0.000000,-28.320000,-0.502400,0.502405,-0.497583,-0.497588,0.044300,0.000000,0.000000,0.000000,-3.120000,1088.189941,0.000000,-18.279999,132.569992,-0.002107,0.000003,0.000003,0.999998,-0.022300,0.000000,0.000000
24,True,True,1.000000,0.090000,0.000000,3.010000,895.260010,0.000000,0.000000,-33.180000,-0.502514,0.502516,-0.497470,-0.497475,0.054100,0.000000,0.000000,0.000000,-3.270000,1089.250000,0.000000,-18.270000,127.110001,-0.002198,0.000003,0.000003,0.999998,-0.022300,0.000000,0.000000
25,True,True,1.000000,0.090000,0.000000,3.010000,894.940002,0.000000,0.000000,-38.040001,-0.502643,0.502654,-0.497335,-0.497340,0.063700,0.000000,0.000000,0.000000,-3.420000,1090.260010,0.000000,-18.260000,121.659996,-0.002290,0.000003,0.000003,0.999997,-0.022300,0.000000,0.000000
26,True,True,1.000000,0.090000,0.000000,3.010000,894.579956,0.000000,0.000000,-42.899998,-0.502794,0.502802,-0.497184,-0.497189,0.073100,0.000000,0.000000,0.000000,-3.570000,1091.229980,0.000000,-18.250000,116.209999,-0.002382,0.000003,0.000003,0.999997,-0.022300,0.000000,0.000000
